"txid","refid","time","type","subtype","aclass","asset","amount","fee","balance"
"","ca5e01-de905-000001","2020-05-15 10:00:00","deposit","","currency","ZUSD",10.0800,0.0000,""
"ca5e01-1ed9e-000001","ca5e01-de905-000001","2020-05-15 10:05:00","deposit","","currency","ZUSD",10.0800,0.0000,10.0800
"ca5e01-1ed9e-000002","ca5e01-dea15-000001","2020-05-15 11:00:00","trade","","currency","ZUSD",-10.0000,0.0800,0.0000
"ca5e01-1ed9e-000003","ca5e01-dea15-000001","2020-05-15 11:00:00","trade","","currency","XXBT",1.0000000000,0.0000000000,1.0000000000
"","ca5e01-de905-000002","2026-01-10 09:00:00","deposit","","currency","ZUSD",1008.0000,0.0000,""
"ca5e01-1ed9e-000004","ca5e01-de905-000002","2026-01-10 09:05:00","deposit","","currency","ZUSD",1008.0000,0.0000,1008.0000
"ca5e01-1ed9e-000005","ca5e01-dea15-000002","2026-01-10 10:00:00","trade","","currency","ZUSD",-1000.0000,8.0000,0.0000
"ca5e01-1ed9e-000006","ca5e01-dea15-000002","2026-01-10 10:00:00","trade","","currency","XXBT",1.0000000000,0.0000000000,2.0000000000
"ca5e01-1ed9e-000007","ca5e01-dea15-000003","2026-07-20 14:00:00","trade","","currency","XXBT",-1.0000000000,0.0080000000,0.9920000000
"ca5e01-1ed9e-000008","ca5e01-dea15-000003","2026-07-20 14:00:00","trade","","currency","XETH",20.0000000000,0.0000000000,20.0000000000
