"txid","refid","time","type","subtype","aclass","asset","amount","fee","balance"
"","ca5e03-de905-000001","2026-01-10 09:00:00","deposit","","currency","ZUSD",1008.0000,0.0000,""
"ca5e03-1ed9e-000001","ca5e03-de905-000001","2026-01-10 09:05:00","deposit","","currency","ZUSD",1008.0000,0.0000,1008.0000
"ca5e03-1ed9e-000002","ca5e03-dea15-000001","2026-01-10 10:00:00","trade","","currency","ZUSD",-1000.0000,8.0000,0.0000
"ca5e03-1ed9e-000003","ca5e03-dea15-000001","2026-01-10 10:00:00","trade","","currency","XXBT",1.0000000000,0.0000000000,1.0000000000
"","ca5e03-de905-000002","2026-02-01 12:00:00","deposit","","currency","XXBT",1.0000000000,0.0000000000,""
"ca5e03-1ed9e-000004","ca5e03-de905-000002","2026-02-01 12:10:00","deposit","","currency","XXBT",1.0000000000,0.0000000000,2.0000000000
"ca5e03-1ed9e-000005","ca5e03-dea15-000002","2026-07-20 14:00:00","trade","","currency","XXBT",-1.0000000000,0.0080000000,0.9920000000
"ca5e03-1ed9e-000006","ca5e03-dea15-000002","2026-07-20 14:00:00","trade","","currency","XETH",20.0000000000,0.0000000000,20.0000000000
"ca5e03-1ed9e-000007","ca5e03-dea15-000003","2026-07-25 08:00:00","margin","","currency","XXBT",0.0000000000,0.0200000000,0.9720000000
"ca5e03-1ed9e-000008","ca5e03-9011e-000001","2026-07-25 12:00:00","rollover","","currency","XXBT",0.0000000000,0.0200000000,0.9520000000
"ca5e03-1ed9e-000009","ca5e03-9011e-000002","2026-07-25 16:00:00","rollover","","currency","XXBT",0.0000000000,0.0200000000,0.9320000000
"ca5e03-1ed9e-000010","ca5e03-9011e-000003","2026-07-25 20:00:00","rollover","","currency","XXBT",0.0000000000,0.0200000000,0.9120000000
"ca5e03-1ed9e-000011","ca5e03-9011e-000004","2026-07-26 00:00:00","rollover","","currency","XXBT",0.0000000000,0.0200000000,0.8920000000
"ca5e03-1ed9e-000012","ca5e03-9011e-000005","2026-07-26 04:00:00","rollover","","currency","XXBT",0.0000000000,0.0200000000,0.8720000000
